Exercise Name,Primary Muscle Group(s),Calories Burned per min / set (avg range),Category,Equipment Required,Description,Difficulty Level
Full Body Crunch,Full Body,7-10 kcal/min,Core,Resistance Band,"This is a core exercise that primarily targets the full body. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Glutes Roll,Glutes,3-14 kcal/min,Mobility,Kettlebell,"This is a mobility exercise that primarily targets the glutes. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Triceps Yoga Flow,Triceps,12-18 kcal/min,Mobility,Medicine Ball,"This is a mobility exercise that primarily targets the triceps. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Glutes Jerk,Glutes,6-14 kcal/min,Power,Barbell,"This is a power exercise that primarily targets the glutes. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Core Heel Raise,Core,7-12 kcal/min,Rehab,Cable,"This is a rehab exercise that primarily targets the core. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Biceps Split Jerk,Biceps,11-15 kcal/min,Power,Medicine Ball,"This is a power exercise that primarily targets the biceps. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Glutes Bridge,Glutes,7-15 kcal/min,Mobility,Kettlebell,"This is a mobility exercise that primarily targets the glutes. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Full Body Sit-Up,Full Body,9-19 kcal/min,Core,Barbell,"This is a core exercise that primarily targets the full body. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Hamstrings Snatch,Hamstrings,8-16 kcal/min,Power,Cable,"This is a power exercise that primarily targets the hamstrings. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Triceps High Pull,Triceps,4-15 kcal/min,Power,Dumbbell,"This is a power exercise that primarily targets the triceps. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Quadriceps Box Jump,Quadriceps,12-10 kcal/min,Cardio,None,"This is a cardio exercise that primarily targets the quadriceps. It is performed using none and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Chest Box Jump,Chest,7-14 kcal/min,Cardio,None,"This is a cardio exercise that primarily targets the chest. It is performed using none and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Biceps Broad Jump,Biceps,10-17 kcal/min,Power,Kettlebell,"This is a power exercise that primarily targets the biceps. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Biceps Crunch,Biceps,10-19 kcal/min,Core,Kettlebell,"This is a core exercise that primarily targets the biceps. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Glutes Fly,Glutes,5-19 kcal/min,Strength,Resistance Band,"This is a strength exercise that primarily targets the glutes. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Calves Cat-Cow,Calves,7-20 kcal/min,Mobility,Medicine Ball,"This is a mobility exercise that primarily targets the calves. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Shoulders Pose,Shoulders,6-12 kcal/min,Mobility,Bodyweight,"This is a mobility exercise that primarily targets the shoulders. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Chest Scapular Retraction,Chest,7-19 kcal/min,Rehab,None,"This is a rehab exercise that primarily targets the chest. It is performed using none and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Triceps Cat-Cow,Triceps,14-14 kcal/min,Mobility,Kettlebell,"This is a mobility exercise that primarily targets the triceps. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Chest Reach,Chest,10-19 kcal/min,Mobility,Bodyweight,"This is a mobility exercise that primarily targets the chest. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Mobility/Stretch Row,Mobility/Stretch,6-10 kcal/min,Strength,Resistance Band,"This is a strength exercise that primarily targets the mobility/stretch. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Chest Push Press,Chest,14-17 kcal/min,Power,Bodyweight,"This is a power exercise that primarily targets the chest. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Glutes Ankle Mobility,Glutes,5-18 kcal/min,Rehab,Machine,"This is a rehab exercise that primarily targets the glutes. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Shoulders Side Bend,Shoulders,7-16 kcal/min,Core,Dumbbell,"This is a core exercise that primarily targets the shoulders. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Legs Sprint,Legs,12-15 kcal/min,Cardio,Medicine Ball,"This is a cardio exercise that primarily targets the legs. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Triceps Windshield Wiper,Triceps,10-13 kcal/min,Core,Cable,"This is a core exercise that primarily targets the triceps. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Chest Jerk,Chest,15-15 kcal/min,Power,Resistance Band,"This is a power exercise that primarily targets the chest. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Full Body Curl,Full Body,9-15 kcal/min,Strength,Kettlebell,"This is a strength exercise that primarily targets the full body. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Triceps Fly,Triceps,14-20 kcal/min,Strength,Machine,"This is a strength exercise that primarily targets the triceps. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Core Mountain Climber,Core,8-15 kcal/min,Cardio,None,"This is a cardio exercise that primarily targets the core. It is performed using none and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Quadriceps Pull,Quadriceps,7-15 kcal/min,Strength,Dumbbell,"This is a strength exercise that primarily targets the quadriceps. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Calves Glute Bridge,Calves,6-10 kcal/min,Rehab,Kettlebell,"This is a rehab exercise that primarily targets the calves. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Hamstrings High Pull,Hamstrings,7-12 kcal/min,Power,Medicine Ball,"This is a power exercise that primarily targets the hamstrings. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Core Sprint,Core,12-20 kcal/min,Cardio,None,"This is a cardio exercise that primarily targets the core. It is performed using none and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Biceps Sprint,Biceps,6-16 kcal/min,Cardio,Cable,"This is a cardio exercise that primarily targets the biceps. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Mobility/Stretch Pilates Move,Mobility/Stretch,6-15 kcal/min,Mobility,Machine,"This is a mobility exercise that primarily targets the mobility/stretch. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Glutes Flutter Kick,Glutes,4-13 kcal/min,Core,Cable,"This is a core exercise that primarily targets the glutes. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Full Body Crunch,Full Body,12-10 kcal/min,Core,Medicine Ball,"This is a core exercise that primarily targets the full body. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Hamstrings Dip,Hamstrings,7-18 kcal/min,Strength,Barbell,"This is a strength exercise that primarily targets the hamstrings. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Biceps Clamshell,Biceps,7-12 kcal/min,Rehab,Barbell,"This is a rehab exercise that primarily targets the biceps. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Shoulders Glute Bridge,Shoulders,11-14 kcal/min,Rehab,Barbell,"This is a rehab exercise that primarily targets the shoulders. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Shoulders Swing,Shoulders,15-10 kcal/min,Power,Medicine Ball,"This is a power exercise that primarily targets the shoulders. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Glutes Twist,Glutes,15-20 kcal/min,Mobility,Barbell,"This is a mobility exercise that primarily targets the glutes. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Shoulders Twist,Shoulders,11-10 kcal/min,Mobility,Cable,"This is a mobility exercise that primarily targets the shoulders. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Hamstrings Step-Up,Hamstrings,11-15 kcal/min,Cardio,Cable,"This is a cardio exercise that primarily targets the hamstrings. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Mobility/Stretch Cycle,Mobility/Stretch,9-17 kcal/min,Cardio,None,"This is a cardio exercise that primarily targets the mobility/stretch. It is performed using none and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Shoulders Bird Dog,Shoulders,6-16 kcal/min,Rehab,Cable,"This is a rehab exercise that primarily targets the shoulders. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Quadriceps Jump Squat,Quadriceps,6-20 kcal/min,Power,Bodyweight,"This is a power exercise that primarily targets the quadriceps. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Biceps Heel Raise,Biceps,9-19 kcal/min,Rehab,Bodyweight,"This is a rehab exercise that primarily targets the biceps. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Calves Side Bend,Calves,5-15 kcal/min,Core,None,"This is a core exercise that primarily targets the calves. It is performed using none and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Triceps Medicine Ball Slam,Triceps,11-15 kcal/min,Power,Medicine Ball,"This is a power exercise that primarily targets the triceps. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Chest Clean,Chest,12-10 kcal/min,Power,Bodyweight,"This is a power exercise that primarily targets the chest. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Hamstrings Curl,Hamstrings,5-17 kcal/min,Strength,Bodyweight,"This is a strength exercise that primarily targets the hamstrings. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Chest Squat,Chest,14-12 kcal/min,Strength,Cable,"This is a strength exercise that primarily targets the chest. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Shoulders Elliptical,Shoulders,5-10 kcal/min,Cardio,Resistance Band,"This is a cardio exercise that primarily targets the shoulders. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Hamstrings Broad Jump,Hamstrings,9-18 kcal/min,Power,Dumbbell,"This is a power exercise that primarily targets the hamstrings. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Shoulders Heel Raise,Shoulders,3-13 kcal/min,Rehab,Machine,"This is a rehab exercise that primarily targets the shoulders. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Chest Push Press,Chest,9-11 kcal/min,Power,Barbell,"This is a power exercise that primarily targets the chest. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Legs Pilates Move,Legs,10-14 kcal/min,Mobility,None,"This is a mobility exercise that primarily targets the legs. It is performed using none and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Chest Rotation,Chest,9-15 kcal/min,Mobility,Machine,"This is a mobility exercise that primarily targets the chest. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Shoulders Rowing,Shoulders,5-15 kcal/min,Cardio,Barbell,"This is a cardio exercise that primarily targets the shoulders. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Legs Glute Bridge,Legs,3-11 kcal/min,Rehab,Resistance Band,"This is a rehab exercise that primarily targets the legs. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Hamstrings Twist,Hamstrings,5-10 kcal/min,Mobility,Cable,"This is a mobility exercise that primarily targets the hamstrings. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Calves Box Jump,Calves,7-20 kcal/min,Cardio,Dumbbell,"This is a cardio exercise that primarily targets the calves. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Shoulders Clean,Shoulders,3-15 kcal/min,Power,Barbell,"This is a power exercise that primarily targets the shoulders. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Glutes Medicine Ball Slam,Glutes,7-12 kcal/min,Power,Medicine Ball,"This is a power exercise that primarily targets the glutes. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Quadriceps Jump Squat,Quadriceps,5-11 kcal/min,Power,Medicine Ball,"This is a power exercise that primarily targets the quadriceps. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Hamstrings Scapular Retraction,Hamstrings,6-10 kcal/min,Rehab,Machine,"This is a rehab exercise that primarily targets the hamstrings. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Biceps Roll,Biceps,10-13 kcal/min,Mobility,Cable,"This is a mobility exercise that primarily targets the biceps. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Shoulders Bridge,Shoulders,10-13 kcal/min,Mobility,Kettlebell,"This is a mobility exercise that primarily targets the shoulders. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Triceps Jump Squat,Triceps,3-20 kcal/min,Power,Bodyweight,"This is a power exercise that primarily targets the triceps. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Chest Band Walk,Chest,14-14 kcal/min,Rehab,Machine,"This is a rehab exercise that primarily targets the chest. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Core Stretch,Core,12-13 kcal/min,Mobility,Medicine Ball,"This is a mobility exercise that primarily targets the core. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Core Russian Twist,Core,4-16 kcal/min,Core,None,"This is a core exercise that primarily targets the core. It is performed using none and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Shoulders Leg Raise,Shoulders,10-20 kcal/min,Core,Machine,"This is a core exercise that primarily targets the shoulders. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Chest Clean,Chest,7-20 kcal/min,Power,Machine,"This is a power exercise that primarily targets the chest. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Calves Raise,Calves,10-18 kcal/min,Strength,Resistance Band,"This is a strength exercise that primarily targets the calves. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Calves Rotation,Calves,14-18 kcal/min,Mobility,None,"This is a mobility exercise that primarily targets the calves. It is performed using none and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Glutes Raise,Glutes,11-14 kcal/min,Strength,Machine,"This is a strength exercise that primarily targets the glutes. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Shoulders Band Walk,Shoulders,10-17 kcal/min,Rehab,None,"This is a rehab exercise that primarily targets the shoulders. It is performed using none and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Back Sit-Up,Back,7-10 kcal/min,Core,Resistance Band,"This is a core exercise that primarily targets the back. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Hamstrings Sprint,Hamstrings,13-10 kcal/min,Cardio,Resistance Band,"This is a cardio exercise that primarily targets the hamstrings. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Quadriceps Cat-Cow,Quadriceps,6-15 kcal/min,Mobility,Machine,"This is a mobility exercise that primarily targets the quadriceps. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Legs Hollow Hold,Legs,8-17 kcal/min,Core,Resistance Band,"This is a core exercise that primarily targets the legs. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Shoulders Band Walk,Shoulders,4-14 kcal/min,Rehab,Cable,"This is a rehab exercise that primarily targets the shoulders. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Triceps Cycle,Triceps,12-13 kcal/min,Cardio,Bodyweight,"This is a cardio exercise that primarily targets the triceps. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Back Face Pull,Back,15-15 kcal/min,Rehab,Barbell,"This is a rehab exercise that primarily targets the back. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Calves Pilates Move,Calves,8-11 kcal/min,Mobility,Medicine Ball,"This is a mobility exercise that primarily targets the calves. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Glutes Glute Bridge,Glutes,8-18 kcal/min,Rehab,Bodyweight,"This is a rehab exercise that primarily targets the glutes. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Biceps Stretch,Biceps,15-12 kcal/min,Mobility,Barbell,"This is a mobility exercise that primarily targets the biceps. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Glutes Sprint,Glutes,3-19 kcal/min,Cardio,Medicine Ball,"This is a cardio exercise that primarily targets the glutes. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Biceps Stretch,Biceps,5-10 kcal/min,Mobility,Bodyweight,"This is a mobility exercise that primarily targets the biceps. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Quadriceps Hollow Hold,Quadriceps,3-19 kcal/min,Core,Bodyweight,"This is a core exercise that primarily targets the quadriceps. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Hamstrings Dip,Hamstrings,11-11 kcal/min,Strength,Medicine Ball,"This is a strength exercise that primarily targets the hamstrings. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Biceps Extension,Biceps,8-10 kcal/min,Strength,Cable,"This is a strength exercise that primarily targets the biceps. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Shoulders Bridge,Shoulders,5-11 kcal/min,Mobility,Dumbbell,"This is a mobility exercise that primarily targets the shoulders. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Core Glute Bridge,Core,7-13 kcal/min,Rehab,Barbell,"This is a rehab exercise that primarily targets the core. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Shoulders Jump Rope,Shoulders,10-20 kcal/min,Cardio,Medicine Ball,"This is a cardio exercise that primarily targets the shoulders. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Legs Jump Rope,Legs,11-10 kcal/min,Cardio,Machine,"This is a cardio exercise that primarily targets the legs. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Mobility/Stretch Broad Jump,Mobility/Stretch,14-19 kcal/min,Power,Barbell,"This is a power exercise that primarily targets the mobility/stretch. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Hamstrings Medicine Ball Slam,Hamstrings,15-13 kcal/min,Power,None,"This is a power exercise that primarily targets the hamstrings. It is performed using none and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Quadriceps Mountain Climber,Quadriceps,6-19 kcal/min,Cardio,Cable,"This is a cardio exercise that primarily targets the quadriceps. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Shoulders High Pull,Shoulders,4-10 kcal/min,Power,Machine,"This is a power exercise that primarily targets the shoulders. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Glutes Pose,Glutes,9-18 kcal/min,Mobility,Machine,"This is a mobility exercise that primarily targets the glutes. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Triceps Snatch,Triceps,5-18 kcal/min,Power,Cable,"This is a power exercise that primarily targets the triceps. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Back Bird Dog,Back,5-16 kcal/min,Rehab,Medicine Ball,"This is a rehab exercise that primarily targets the back. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Glutes Burpees,Glutes,13-10 kcal/min,Cardio,Kettlebell,"This is a cardio exercise that primarily targets the glutes. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Core Raise,Core,9-15 kcal/min,Strength,Medicine Ball,"This is a strength exercise that primarily targets the core. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Shoulders Windshield Wiper,Shoulders,7-13 kcal/min,Core,None,"This is a core exercise that primarily targets the shoulders. It is performed using none and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Full Body Rowing,Full Body,10-10 kcal/min,Cardio,None,"This is a cardio exercise that primarily targets the full body. It is performed using none and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Quadriceps Cycle,Quadriceps,4-18 kcal/min,Cardio,Barbell,"This is a cardio exercise that primarily targets the quadriceps. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Full Body Stretch,Full Body,5-15 kcal/min,Mobility,Bodyweight,"This is a mobility exercise that primarily targets the full body. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Back Burpees,Back,15-12 kcal/min,Cardio,Dumbbell,"This is a cardio exercise that primarily targets the back. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Biceps Raise,Biceps,9-19 kcal/min,Strength,Bodyweight,"This is a strength exercise that primarily targets the biceps. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Triceps Elliptical,Triceps,5-16 kcal/min,Cardio,Dumbbell,"This is a cardio exercise that primarily targets the triceps. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Glutes Leg Raise,Glutes,10-12 kcal/min,Core,Resistance Band,"This is a core exercise that primarily targets the glutes. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Mobility/Stretch Windshield Wiper,Mobility/Stretch,3-11 kcal/min,Core,Barbell,"This is a core exercise that primarily targets the mobility/stretch. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Legs Heel Raise,Legs,3-13 kcal/min,Rehab,Kettlebell,"This is a rehab exercise that primarily targets the legs. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Triceps Step-Up,Triceps,11-14 kcal/min,Cardio,Resistance Band,"This is a cardio exercise that primarily targets the triceps. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Shoulders Jump Rope,Shoulders,5-10 kcal/min,Cardio,Bodyweight,"This is a cardio exercise that primarily targets the shoulders. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Mobility/Stretch Jump Rope,Mobility/Stretch,9-15 kcal/min,Cardio,Machine,"This is a cardio exercise that primarily targets the mobility/stretch. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Chest Fly,Chest,5-11 kcal/min,Strength,Dumbbell,"This is a strength exercise that primarily targets the chest. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Back Row,Back,6-14 kcal/min,Strength,None,"This is a strength exercise that primarily targets the back. It is performed using none and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
